,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
43,2016-11-14,RETURNING,55.0,52.0,8.0,10.0,130.0,128.0,11.0,6.0,248.0,1422.0,27.0,218.0
44,2016-11-15,NEW,179.0,10.0,15.0,14.0,116.0,202.0,4.0,7.0,151.0,656.0,11.0,362.0
45,2016-11-15,RETURNING,72.0,27.0,7.0,11.0,103.0,132.0,16.0,10.0,230.0,1391.0,29.0,211.0
46,2016-11-16,NEW,159.0,19.0,12.0,14.0,132.0,208.0,12.0,2.0,153.0,639.0,17.0,260.0
47,2016-11-16,RETURNING,91.0,35.0,11.0,4.0,140.0,122.0,10.0,2.0,247.0,1217.0,31.0,157.0
48,2016-11-17,NEW,140.0,14.0,9.0,13.0,123.0,210.0,7.0,3.0,143.0,578.0,12.0,242.0
49,2016-11-17,RETURNING,70.0,36.0,7.0,4.0,119.0,128.0,25.0,3.0,209.0,1224.0,20.0,149.0
50,2016-11-18,NEW,86.0,15.0,16.0,17.0,103.0,177.0,10.0,6.0,136.0,452.0,18.0,146.0
51,2016-11-18,RETURNING,43.0,26.0,7.0,11.0,73.0,107.0,19.0,4.0,188.0,1059.0,25.0,99.0
52,2016-11-19,NEW,40.0,2.0,14.0,10.0,62.0,69.0,3.0,3.0,63.0,329.0,7.0,125.0
53,2016-11-19,RETURNING,24.0,12.0,9.0,2.0,59.0,29.0,7.0,2.0,125.0,685.0,18.0,80.0
54,2016-11-20,NEW,56.0,4.0,10.0,11.0,84.0,67.0,3.0,2.0,78.0,478.0,10.0,152.0
55,2016-11-20,RETURNING,22.0,2.0,2.0,5.0,90.0,42.0,6.0,3.0,142.0,1006.0,16.0,82.0
56,2016-11-21,NEW,112.0,21.0,15.0,24.0,134.0,268.0,10.0,4.0,200.0,826.0,22.0,237.0
57,2016-11-21,RETURNING,65.0,43.0,6.0,9.0,112.0,179.0,19.0,7.0,279.0,1563.0,32.0,115.0
58,2016-11-22,NEW,96.0,21.0,10.0,20.0,101.0,211.0,8.0,8.0,167.0,638.0,28.0,208.0
59,2016-11-22,RETURNING,40.0,151.0,6.0,6.0,81.0,130.0,20.0,5.0,305.0,1568.0,58.0,130.0
60,2016-11-23,NEW,155.0,21.0,15.0,22.0,117.0,206.0,3.0,5.0,149.0,632.0,27.0,174.0
61,2016-11-23,RETURNING,72.0,150.0,6.0,9.0,105.0,147.0,14.0,3.0,294.0,1370.0,38.0,117.0
62,2016-11-24,NEW,113.0,55.0,9.0,23.0,122.0,196.0,9.0,6.0,156.0,545.0,28.0,179.0
63,2016-11-24,RETURNING,68.0,108.0,3.0,7.0,117.0,120.0,17.0,4.0,252.0,1334.0,41.0,117.0
64,2016-11-25,NEW,109.0,48.0,16.0,13.0,88.0,158.0,7.0,3.0,147.0,463.0,24.0,117.0
65,2016-11-25,RETURNING,74.0,79.0,5.0,3.0,56.0,94.0,12.0,1.0,215.0,993.0,29.0,88.0
66,2016-11-26,NEW,68.0,16.0,13.0,12.0,55.0,48.0,1.0,2.0,86.0,325.0,19.0,99.0
67,2016-11-26,RETURNING,23.0,22.0,5.0,5.0,25.0,32.0,4.0,3.0,128.0,749.0,12.0,73.0
68,2016-11-27,NEW,73.0,16.0,11.0,12.0,75.0,74.0,3.0,1.0,62.0,425.0,10.0,122.0
69,2016-11-27,RETURNING,29.0,24.0,2.0,3.0,25.0,51.0,6.0,1.0,125.0,889.0,20.0,70.0
70,2016-11-28,NEW,141.0,29.0,26.0,20.0,138.0,211.0,16.0,9.0,189.0,756.0,27.0,207.0
71,2016-11-28,RETURNING,85.0,76.0,9.0,2.0,65.0,131.0,24.0,11.0,309.0,1597.0,52.0,124.0
72,2016-11-29,NEW,98.0,27.0,16.0,13.0,120.0,199.0,19.0,10.0,200.0,690.0,28.0,190.0
73,2016-11-29,RETURNING,66.0,89.0,5.0,7.0,50.0,105.0,20.0,9.0,359.0,1545.0,50.0,102.0
